id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
,,,,,,,,Ugxwm60UiI1Fj8FqJiB4AaABAg.8ioijRa7RN18iolzSS9wNK,MFB,2 days ago,1531936232917,To fake a limited ego this is true.,0
UgzKd4yj5aKbuGjORP54AaABAg,Pete fromtheIsland,2 days ago,1531936232543,Wow Trump really told Putin off.  I was feeling so sad and sorry for Putin...ha ha ha.,2,false,0,,,,,,
Ugww3MB-yBaixSCRiRx4AaABAg,Hakapik,2 days ago,1531936232552,"Fucking piece of shit cant backpedal out of being a traitor to the united states. If he conducted the meetings, etc, that he and his fucked family were involved in 50 years ago they WOULD HAVE BEEN CHARGED with treason against the united states.",0,false,0,,,,,,
UgzvI3T7RLPR4xG2Pe94AaABAg,Mel H,2 days ago,1531936232558,Says the Russian spy. Trying to backtrack.  Lying piece of shit.,0,false,0,,,,,,
UgyW9uPdFSQJh8MLGkR4AaABAg,MrCapi55,2 days ago,1531936232565,Very Good. Let`s pray for the understanding and cooperation. Great also what Mr. Brady told about the reinforcement of middle class and small business. Those were pillars of the US economy and the middle class is dying in so many countries.,1,false,0,,,,,,
Ugx4RD77eSzT-2NEkPV4AaABAg,pat smith,2 days ago,1531936232574,It is a wise decision to be on good terms with a nation that has the world's largest nuclear arsenal.,3,false,0,,,,,,
UgyDeI3FHXdIEECITLh4AaABAg,Lamar Passmore,2 days ago,1531936232581,Martin Luther King Jr meddled in U.S. elections which got him assassinated by an Uncle Tom. Putin as well as MLK never even voted never even paid for votes. Jeh Johnson of the DHS said these theories/speculations/assumptions/conjectures aren't true. So which influential per$on$ are #Warmongering ? It's illegal to shout/scream fire in an occupied theatre when in factuality there isn't.,0,false,0,,,,,,
UgwbVsVTfRTq4R-Y5xh4AaABAg,H Pn,2 days ago,1531936232587,I'm glad he got more to pay.,0,false,0,,,,,,
UgyJ9unHsPIkn_b-ej14AaABAg,Casey Bowman,2 days ago,1531936233955,"Our special relationship?  Type in: Lysander Spooner - Constitution of no authority, no treason., American officials holding dual citizenship.,Talmud.  enjoy",0,false,0,,,,,,
Ugy_RSI0hs6Jdu7Fu-F4AaABAg,Nina Jefferson,2 days ago,1531936233960,"Putin's x'mas speech 
altered w/ video from 
Black Pilled. Plz watch.
https://youtu.be/hJdxNEgWirM",0,false,0,,,,,,
Ugy75oIzKlDuwHrfuBZ4AaABAg,sloopy skates,2 days ago,1531936233965,Stop hating on someone trying to save everyone from the socialist globalist.  Soros Hillary and Obama and the corrupt DNC,1,false,0,,,,,,
Ugyjx4aqlmt7F-tdcTd4AaABAg,Marc1142 8,2 days ago,1531936233973,"You will lose your testicles for the rape of PRISCILLA. Donald Trump.
So also will your sons.


Dazzle me with brilliance or try to bullshit me.

You cannot bullshit a bullshiter.


Your balls are coming off.
Period.",1,true,1,,,,,,
,,,,,,,,Ugyjx4aqlmt7F-tdcTd4AaABAg.8iogz7zmaFJ8iohIVZV67n,game Ваяка,2 days ago,1531936234437,"sorry, but 3 world war? Normal summit",0
UgzfbrRLM-N9o4jvaB14AaABAg,Qm,2 days ago,1531936233981,"my view on all this is that he is trying to avoid The Simpsons scenario of bankruptcy for next elections, scenario that deep state will try to push through Chinas government ....so he is trying to approach through the back door;)",0,false,0,,,,,,
